ticker,sessions,first_day,last_day
AAPL,252,2025-09-18,2026-09-18
ABNB,252,2025-09-18,2026-09-18
AFRM,252,2025-09-18,2026-09-18
AI,252,2025-09-18,2026-09-18
AMD,252,2025-09-18,2026-09-18
AMZN,252,2025-09-18,2026-09-18
APP,252,2025-09-18,2026-09-18
BAC,252,2025-09-18,2026-09-18
CHGG,252,2025-09-18,2026-09-18
CHWY,252,2025-09-18,2026-09-18
CIFR,252,2025-09-18,2026-09-18
CLSK,252,2025-09-18,2026-09-18
COIN,252,2025-09-18,2026-09-18
COUR,252,2025-09-18,2026-09-18
CRWD,252,2025-09-18,2026-09-18
CVX,252,2025-09-18,2026-09-18
DASH,252,2025-09-18,2026-09-18
DDOG,252,2025-09-18,2026-09-18
DIA,252,2025-09-18,2026-09-18
DKNG,252,2025-09-18,2026-09-18
DOCU,252,2025-09-18,2026-09-18
DUOL,252,2025-09-18,2026-09-18
ETSY,252,2025-09-18,2026-09-18
EXPE,252,2025-09-18,2026-09-18
FCEL,252,2025-09-18,2026-09-18
GLD,252,2025-09-18,2026-09-18
GOOGL,252,2025-09-18,2026-09-18
HOOD,252,2025-09-18,2026-09-18
HUBS,252,2025-09-18,2026-09-18
HUT,252,2025-09-18,2026-09-18
IWM,252,2025-09-18,2026-09-18
JNJ,252,2025-09-18,2026-09-18
JPM,252,2025-09-18,2026-09-18
LCID,252,2025-09-18,2026-09-18
LMND,252,2025-09-18,2026-09-18
LYFT,252,2025-09-18,2026-09-18
MARA,252,2025-09-18,2026-09-18
META,252,2025-09-18,2026-09-18
MSFT,252,2025-09-18,2026-09-18
NET,252,2025-09-18,2026-09-18
NIO,252,2025-09-18,2026-09-18
NVDA,252,2025-09-18,2026-09-18
OPEN,252,2025-09-18,2026-09-18
PATH,252,2025-09-18,2026-09-18
PENN,252,2025-09-18,2026-09-18
PINS,252,2025-09-18,2026-09-18
PLTR,252,2025-09-18,2026-09-18
PLUG,252,2025-09-18,2026-09-18
QQQ,252,2025-09-18,2026-09-18
RBLX,252,2025-09-18,2026-09-18
RDFN,0,,
RIOT,252,2025-09-18,2026-09-18
RIVN,252,2025-09-18,2026-09-18
ROKU,252,2025-09-18,2026-09-18
ROOT,252,2025-09-18,2026-09-18
S,252,2025-09-18,2026-09-18
SNAP,252,2025-09-18,2026-09-18
SOFI,252,2025-09-18,2026-09-18
SPY,252,2025-09-18,2026-09-18
TEAM,252,2025-09-18,2026-09-18
TLT,252,2025-09-18,2026-09-18
TSLA,252,2025-09-18,2026-09-18
TWLO,252,2025-09-18,2026-09-18
UNH,252,2025-09-18,2026-09-18
UPST,252,2025-09-18,2026-09-18
W,252,2025-09-18,2026-09-18
WULF,252,2025-09-18,2026-09-18
XOM,252,2025-09-18,2026-09-18
XPEV,252,2025-09-18,2026-09-18
Z,252,2025-09-18,2026-09-18
ZS,252,2025-09-18,2026-09-18
