ticker,sessions,first_day,last_day
AAPL,0,,
ABNB,0,,
AFRM,0,,
AI,0,,
AMD,0,,
AMZN,0,,
APP,0,,
BAC,0,,
CHGG,0,,
CHWY,0,,
CIFR,0,,
CLSK,0,,
COIN,0,,
COUR,0,,
CRWD,0,,
CVX,0,,
DASH,0,,
DDOG,0,,
DIA,0,,
DKNG,0,,
DOCU,0,,
DUOL,0,,
ETSY,0,,
EXPE,0,,
FCEL,0,,
GLD,0,,
GOOGL,0,,
HOOD,0,,
HUBS,0,,
HUT,0,,
IWM,0,,
JNJ,0,,
JPM,0,,
LCID,0,,
LMND,0,,
LYFT,0,,
MARA,0,,
META,0,,
MSFT,0,,
NET,0,,
NIO,0,,
NVDA,0,,
OPEN,0,,
PATH,0,,
PENN,0,,
PINS,0,,
PLTR,0,,
PLUG,0,,
QQQ,0,,
RBLX,0,,
RDFN,0,,
RIOT,0,,
RIVN,0,,
ROKU,0,,
ROOT,0,,
S,0,,
SNAP,0,,
SOFI,0,,
SPY,0,,
TEAM,0,,
TLT,0,,
TSLA,0,,
TWLO,0,,
UNH,0,,
UPST,0,,
W,0,,
WULF,0,,
XOM,0,,
XPEV,0,,
Z,0,,
ZS,0,,
AAPL,2,2026-09-21,2026-09-22
ABNB,2,2026-09-21,2026-09-22
AFRM,2,2026-09-21,2026-09-22
AI,2,2026-09-21,2026-09-22
AMD,2,2026-09-21,2026-09-22
AMZN,2,2026-09-21,2026-09-22
APP,2,2026-09-21,2026-09-22
BAC,2,2026-09-21,2026-09-22
CHGG,2,2026-09-21,2026-09-22
CHWY,2,2026-09-21,2026-09-22
CIFR,2,2026-09-21,2026-09-22
CLSK,2,2026-09-21,2026-09-22
COIN,2,2026-09-21,2026-09-22
COUR,2,2026-09-21,2026-09-22
CRWD,2,2026-09-21,2026-09-22
CVX,2,2026-09-21,2026-09-22
DASH,2,2026-09-21,2026-09-22
DDOG,2,2026-09-21,2026-09-22
DIA,2,2026-09-21,2026-09-22
DKNG,2,2026-09-21,2026-09-22
DOCU,2,2026-09-21,2026-09-22
DUOL,2,2026-09-21,2026-09-22
ETSY,2,2026-09-21,2026-09-22
EXPE,2,2026-09-21,2026-09-22
FCEL,2,2026-09-21,2026-09-22
GLD,2,2026-09-21,2026-09-22
GOOGL,2,2026-09-21,2026-09-22
HOOD,2,2026-09-21,2026-09-22
HUBS,2,2026-09-21,2026-09-22
HUT,2,2026-09-21,2026-09-22
IWM,2,2026-09-21,2026-09-22
JNJ,2,2026-09-21,2026-09-22
JPM,2,2026-09-21,2026-09-22
LCID,2,2026-09-21,2026-09-22
LMND,2,2026-09-21,2026-09-22
LYFT,2,2026-09-21,2026-09-22
MARA,2,2026-09-21,2026-09-22
META,2,2026-09-21,2026-09-22
MSFT,2,2026-09-21,2026-09-22
NET,2,2026-09-21,2026-09-22
NIO,2,2026-09-21,2026-09-22
NVDA,2,2026-09-21,2026-09-22
OPEN,2,2026-09-21,2026-09-22
PATH,2,2026-09-21,2026-09-22
PENN,2,2026-09-21,2026-09-22
PINS,2,2026-09-21,2026-09-22
PLTR,2,2026-09-21,2026-09-22
PLUG,2,2026-09-21,2026-09-22
QQQ,2,2026-09-21,2026-09-22
RBLX,2,2026-09-21,2026-09-22
RDFN,0,,
RIOT,2,2026-09-21,2026-09-22
RIVN,2,2026-09-21,2026-09-22
ROKU,2,2026-09-21,2026-09-22
ROOT,2,2026-09-21,2026-09-22
S,2,2026-09-21,2026-09-22
SNAP,2,2026-09-21,2026-09-22
SOFI,2,2026-09-21,2026-09-22
SPY,2,2026-09-21,2026-09-22
TEAM,2,2026-09-21,2026-09-22
TLT,2,2026-09-21,2026-09-22
TSLA,2,2026-09-21,2026-09-22
TWLO,2,2026-09-21,2026-09-22
UNH,2,2026-09-21,2026-09-22
UPST,2,2026-09-21,2026-09-22
W,2,2026-09-21,2026-09-22
WULF,2,2026-09-21,2026-09-22
XOM,2,2026-09-21,2026-09-22
XPEV,2,2026-09-21,2026-09-22
Z,2,2026-09-21,2026-09-22
ZS,2,2026-09-21,2026-09-22
