ticker,day,open,high,low,close,volume,total_volume
AAPL,2026-09-21,335.28,339.64,333.05,338.98,34999230.0,24890743.0
AAPL,2026-09-22,340.135,345.34,338.75,339.75,40711787.0,29766877.0
ABNB,2026-09-21,166.56,167.97,164.7001,166.84,3301799.0,2176873.0
ABNB,2026-09-22,169.08,169.6,160.7,161.81,4961799.0,3682219.0
AFRM,2026-09-21,72.4,73.16,70.04,71.05,4017545.0,3626292.0
AFRM,2026-09-22,73.275,73.37,70.75,71.77,5036847.0,4416842.0
AI,2026-09-21,10.68,10.97,10.49,10.84,4236940.0,3748369.0
AI,2026-09-22,11.04,11.12,10.75,10.85,4032639.0,2873326.0
AMD,2026-09-21,583.88,616.69,582.27,615.52,44494273.0,40092512.0
AMD,2026-09-22,606.565,624.52,606.3125,623.77,28282820.0,24049613.0
AMZN,2026-09-21,256.4,259.49,253.6,258.45,42979408.0,31839721.0
AMZN,2026-09-22,255.11,259.0,253.78,254.98,41982570.0,32752919.0
APP,2026-09-21,309.69,336.94,306.8,330.17,5999098.0,5105151.0
APP,2026-09-22,333.0,333.605,323.68,328.73,3431728.0,2648127.0
BAC,2026-09-21,58.05,58.28,57.465,57.96,33228142.0,22671506.0
BAC,2026-09-22,58.1,58.115,56.065,56.2,45137810.0,31582267.0
CHGG,2026-09-21,0.72,0.7244,0.6969,0.72,597120.0,546727.0
CHGG,2026-09-22,0.721,0.75,0.7131,0.7488,493014.0,440185.0
CHWY,2026-09-21,20.92,21.1795,20.5,20.51,7025971.0,4924654.0
CHWY,2026-09-22,20.9,20.94,19.62,19.66,11497922.0,10123397.0
CIFR,2026-09-21,18.665,19.25,18.2901,18.9,42333465.0,40217062.0
CIFR,2026-09-22,18.51,19.745,18.38,19.09,28768824.0,26323688.0
CLSK,2026-09-21,15.115,15.18,14.68,14.76,23239356.0,22270098.0
CLSK,2026-09-22,14.5,15.265,14.36,15.14,16801961.0,16061908.0
COIN,2026-09-21,205.19,208.33,200.65,201.05,14506900.0,12997614.0
COIN,2026-09-22,199.395,203.0,197.2,201.07,7305841.0,6494357.0
COUR,2026-09-21,5.04,5.19,4.98,5.16,6536589.0,5338814.0
COUR,2026-09-22,5.24,5.3,5.11,5.14,7602263.0,6005881.0
CRWD,2026-09-21,231.62,250.31,230.85,249.35,13372719.0,10446590.0
CRWD,2026-09-22,248.21,250.7999,244.7,250.06,8927697.0,7597655.0
CVX,2026-09-21,207.89,209.0,203.5,203.67,8469735.0,6600275.0
CVX,2026-09-22,201.87,204.44,200.78,202.41,9348372.0,6556216.0
DASH,2026-09-21,193.85,194.95,188.71,193.83,5061174.0,3643939.0
DASH,2026-09-22,198.045,200.585,191.98,192.21,5221975.0,4255081.0
DDOG,2026-09-21,229.73,245.31,226.8325,245.05,2928023.0,2268430.0
DDOG,2026-09-22,245.67,249.91,244.13,247.475,2834595.0,2224895.0
DIA,2026-09-21,520.03,520.52,516.76,519.78,3087943.0,2814168.0
DIA,2026-09-22,522.475,522.55,516.51,518.0,3377556.0,3185010.0
DKNG,2026-09-21,21.75,22.285,21.57,21.97,14481343.0,11856983.0
DKNG,2026-09-22,22.27,23.42,21.73,21.8,22965615.0,21219243.0
DOCU,2026-09-21,69.17,69.87,67.965,68.57,3279740.0,2363110.0
DOCU,2026-09-22,69.66,69.93,65.57,66.76,5179675.0,3769908.0
DUOL,2026-09-21,142.0,151.4,141.8716,149.42,1245719.0,1004550.0
DUOL,2026-09-22,152.02,152.68,144.8005,147.71,802729.0,604049.0
ETSY,2026-09-21,73.55,73.66,71.67,73.48,2968278.0,2389915.0
ETSY,2026-09-22,75.98,75.98,72.57,75.14,4230319.0,3571354.0
EXPE,2026-09-21,279.29,283.65,278.43,281.02,1705270.0,1106497.0
EXPE,2026-09-22,285.25,287.12,263.18,280.7,6271127.0,5522280.0
FCEL,2026-09-21,18.33,18.4699,17.63,17.96,4810534.0,4345351.0
FCEL,2026-09-22,17.64,18.8699,17.17,17.86,6244559.0,5215566.0
GLD,2026-09-21,400.165,400.24,396.34,398.38,6410963.0,6010214.0
GLD,2026-09-22,397.07,400.78,395.58,400.07,6519915.0,5910951.0
GOOGL,2026-09-21,350.64,357.61,349.1,354.97,30455385.0,21845722.0
GOOGL,2026-09-22,357.65,364.17,350.22,351.16,29788598.0,24734441.0
HOOD,2026-09-21,125.045,126.41,121.505,123.3,28301533.0,25326755.0
HOOD,2026-09-22,123.0,126.16,122.46,124.25,16047620.0,14530415.0
HUBS,2026-09-21,219.01,221.06,212.415,213.86,1551571.0,1179206.0
HUBS,2026-09-22,221.01,228.9999,210.41,217.88,2047646.0,1730465.0
HUT,2026-09-21,104.62,107.84,100.26,103.42,5715790.0,5231012.0
HUT,2026-09-22,102.0,110.69,101.9,106.61,5382636.0,4055010.0
IWM,2026-09-21,286.27,286.45,284.9,285.58,18968203.0,16463379.0
IWM,2026-09-22,287.68,288.94,286.05,287.21,25684273.0,23501229.0
JNJ,2026-09-21,271.74,273.73,268.5,269.47,4487725.0,2765147.0
JNJ,2026-09-22,267.51,270.1,265.04,269.19,5682567.0,3823839.0
